,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
gene_9000/1.jpg,1.4292339,0.7129801,0.04521808,-0.6324286,0.00992395,0.58671725,1.951476,-2.3599494,0.24383804,-1.039494,0.4966549,-0.36838824,-0.597285,2.4849238,-0.9114195,1.2713445
gene_9000/2.jpg,0.6238872,2.9646397,-1.9323406,1.551114,-1.7892187,-1.4084425,1.0609632,0.3781973,-0.81101143,-1.5843174,-1.2628409,0.18139564,-0.9387611,0.22066718,-0.4909837,-1.8025701
gene_9000/3.jpg,-0.6021665,0.38667253,-0.98228157,0.7541883,-1.2931961,-2.1035178,-0.22404963,-0.001206994,-0.33214483,-1.728566,2.260911,0.36956906,0.6234746,0.38205853,0.28327408,0.38064906
gene_9000/4.jpg,0.058467586,-0.27163228,-0.38772678,0.84837055,0.38779452,-0.08854141,1.9008048,0.86258423,-2.0462391,-1.0127895,1.1290854,-1.4049059,0.5230523,0.12972084,-2.4941978,2.1557608
gene_9000/5.jpg,1.4139028,0.28684333,-0.026223166,-1.4422748,-2.5023456,-0.07357746,0.34354085,-1.2286756,-1.065931,-1.0958402,2.6016662,-2.045277,2.1096816,3.3382535,-1.5404038,0.8429146
gene_9000/6.jpg,-0.2652668,4.1274557,-0.86633337,1.4987526,-0.62820315,-0.4509875,1.7831094,0.55085105,0.24969871,-1.5938451,-1.1136508,0.3663826,-1.111179,0.5119533,-0.40871468,-2.09764
gene_9000/7.jpg,-0.22964174,1.0868208,-1.4299741,-0.04368876,-1.2443538,-3.6694434,0.5095446,0.9664389,-0.519891,-1.4230529,1.808716,0.49500924,-0.54242134,-0.19508466,-1.3543586,0.030038849
gene_9000/8.jpg,0.10296517,-0.37830633,-0.4996552,0.44228792,-0.80289966,1.2764566,1.7992182,0.9253565,-3.034667,-1.0213977,1.2191288,-0.6990454,0.4232011,1.4606067,-0.37104115,2.0952501
gene_9000/9.jpg,-0.96112967,0.21879953,-1.1082871,0.34447193,-0.23782517,-0.8697702,1.7019473,-1.4445907,-1.3194542,0.12424886,0.95593864,-1.3792834,1.0203164,1.7038176,-0.555272,0.60866
gene_9000/10.jpg,0.63563806,2.8024497,-1.1040221,1.3442365,-0.3347546,-1.6697142,1.6630423,-0.42647916,0.02992902,-1.9546727,-2.3631437,1.0848885,-2.1416662,-0.39213297,0.5760451,-1.3369838
gene_9000/11.jpg,-0.3401785,1.0954478,-1.5215211,0.024344303,-1.7768499,-2.3427908,0.33762372,1.2982296,-1.4685625,-1.227994,1.9157178,1.128056,-0.24907571,1.2189178,0.90182954,-0.23203738
gene_9000/12.jpg,0.33103296,0.12011555,-0.9929986,0.13442904,-0.23797864,-0.1809772,2.578673,2.3223395,-2.9492881,-0.37577397,0.46778685,-0.6618196,-0.5752814,0.450811,-1.8049163,1.5927683
gene_9000/13.jpg,0.9843856,0.63153374,0.16872452,0.7642246,-0.21981391,-0.6965562,0.9166603,0.41037387,0.003894806,-2.5609117,2.0230637,-3.1501646,1.5796648,2.5467257,-0.9856979,0.4086189
gene_9000/14.jpg,0.043851152,3.8266692,-0.6544811,-0.35492805,-1.9285892,-1.3192687,1.1015961,0.658117,-0.04456176,-1.8880142,-2.8682866,-0.63535756,-0.98537296,0.06516556,-0.5774044,-2.6761613
gene_9000/15.jpg,-0.27152222,0.23036593,-0.9137978,0.64064217,-0.03800945,-1.9364733,0.45005184,-1.2649722,0.5051603,-2.0754006,1.2767984,1.9256718,-0.2613247,-0.17407992,0.99862605,1.1806954
gene_9000/16.jpg,-1.0384065,0.9391705,-0.174021,1.8405706,1.2777773,1.8279319,2.4558246,-0.7924578,-0.53298616,-1.5153646,-0.0786955,0.2615747,-0.09963088,0.20103069,-0.74955446,2.0534697
gene_9000/17.jpg,1.5723857,-0.30947676,-2.1640465,-0.7466815,-0.24774835,-2.1858387,0.5217805,-2.4705088,-1.9222165,-0.43900722,1.0830625,-2.2076914,1.7921394,1.3035368,-0.06614594,1.1241915
gene_9000/18.jpg,0.38735506,3.4120266,-0.7267348,0.4629886,-0.76150745,-1.4400654,1.1795815,-0.08264527,0.028418034,-2.1711497,-1.3668818,0.24452446,-1.6689442,0.018398896,-0.2429803,-1.8453666
gene_9000/19.jpg,-0.06283189,0.9711793,-1.3002155,-0.13855962,0.434665,-2.6784723,0.80465513,-0.4602958,0.50529814,-1.4156872,0.984582,1.9744661,-1.597991,-0.961278,-0.40264362,0.5031985
gene_9000/20.jpg,-1.0211895,1.4496934,-0.6452593,1.5262892,1.5915124,0.8430389,2.907453,0.24714303,-0.67920464,-0.8245017,-0.72186166,0.4367026,-1.3351321,-0.25278363,-2.0475202,1.687512
gene_9000/21.jpg,0.9826392,1.8738701,-0.93003774,1.5236814,-1.2007077,1.473197,0.1815561,0.42777348,-1.4328983,-3.7428894,2.459489,-0.37457174,1.3281643,0.2855475,0.410033,1.2466935
gene_9000/22.jpg,0.6850487,3.5453203,-1.4378481,0.18652077,-0.4811993,-2.2034996,1.826897,0.6616313,0.008849181,-1.6572944,-1.347707,0.44083646,-1.9091051,-0.5139214,-1.4138434,-1.6837827
gene_9000/23.jpg,-0.14408965,1.1056796,-1.1807038,0.019085318,-0.5177267,-1.6099819,1.0260683,0.15426055,-0.5246284,-2.1415036,1.0206914,2.2091799,-1.8194543,0.35039574,1.7311177,0.43098545
gene_9000/24.jpg,-0.6396111,1.1612462,-0.5587811,1.194983,1.0483763,1.8051153,3.2097402,0.7132692,-1.6172063,-1.0947278,-0.7808542,0.53367615,-0.99793,0.4957203,0.2651983,1.3740178
gene_9000/25.jpg,1.6782734,1.5343556,-0.3374696,-1.2298613,0.095407486,-0.5524545,2.8495674,-1.4874244,0.36291957,-0.5326113,-0.18850103,-0.21562108,-1.9551271,1.8057207,-2.4813929,0.8747998
gene_9000/26.jpg,0.971094,2.9829788,-1.0843501,0.08334082,-0.89788926,-1.1737597,1.5193834,1.162066,-1.0613862,-1.6845789,-1.3350849,0.3918768,-1.8831514,0.6778802,0.9199879,-1.8724147
gene_9000/27.jpg,0.0016822815,0.85337895,-0.3874057,-1.1467894,0.03584914,-2.8983755,0.5382047,-0.77656054,0.03799963,-1.7751095,2.4083505,1.0609919,0.08069122,0.06269451,-1.0179834,0.6878813
gene_9000/28.jpg,-0.77808964,1.1316795,0.12088135,0.97249717,1.5414813,1.1792938,2.5974596,0.45777664,-0.50429857,-0.8445461,0.87489027,-0.72234964,0.29647756,0.2510417,-2.508138,1.8693726
gene_9000/29.jpg,1.4605124,1.1726646,-0.62317485,-1.2574205,-0.43366125,0.6439066,2.7103095,-1.2050213,-0.6076085,-0.7274118,-0.51279914,0.13356943,-1.7378325,2.8740947,-0.33111,0.70340425
gene_9000/30.jpg,-0.5682895,3.6178539,-0.25630856,-0.8309728,-1.1159779,1.1009554,3.3320103,0.65740585,-0.20366734,-1.9606243,-3.279258,1.5541797,-1.4819084,-1.2849847,-0.9130087,0.26325694
gene_9000/31.jpg,-0.24529503,0.44192678,-0.45198125,-1.3665221,-0.70678973,-1.6204306,0.36655974,0.20269723,-0.6441206,-1.6412929,2.1442957,1.2761856,0.47889054,1.1744517,1.4561692,0.7523924
gene_9000/32.jpg,-0.64523804,0.90516585,0.26176283,0.5318793,0.8343289,2.3540866,3.1765845,0.93893325,-1.8815839,-1.1989592,0.550018,0.004426047,-0.0983216,1.2615491,-0.20016775,1.6150836
gene_9000/33.jpg,1.8395926,0.8358029,-0.72859347,-2.158338,-2.6416404,-1.2344301,0.9017397,-0.6073615,-1.0469135,-0.678334,2.3028796,-2.1476035,1.2640097,2.4523087,-3.682544,0.03653416
gene_9000/34.jpg,-1.0707401,3.7095568,-0.18013573,-0.572829,-0.8301,1.3003157,2.5168097,-0.3017274,0.18327944,-2.0698538,-3.1030564,-0.1389887,-2.6237915,-1.8682286,-0.7734807,-0.07807635
gene_9000/35.jpg,0.28274602,1.2373408,-0.84410614,-1.5895203,-0.24847993,-2.933731,1.292928,1.4800618,-1.120259,-1.2388335,1.7286658,1.3451067,-1.3680856,0.043338567,-0.14656362,0.059091773
gene_9000/36.jpg,-0.3888803,1.3582423,-0.20751753,0.16249713,1.2179999,1.1856935,3.583821,1.6570873,-1.9976276,-0.4945403,0.041338533,-0.17505236,-0.8511672,0.6140902,-1.9111565,1.3451226
gene_9000/37.jpg,1.9642407,0.41505614,-0.45804173,-2.2426748,-3.083124,-0.46229222,1.116407,0.14128244,-2.0500796,-0.992264,2.1828728,-1.957088,1.4860324,3.6267755,-1.1044,-0.15221281
gene_9000/38.jpg,-0.7529281,3.5341344,0.19223452,-0.5028215,0.03683342,1.3111554,1.9447553,-0.24265522,-0.13182923,-2.0297914,-2.8488824,0.66190976,-1.927249,-0.8262005,-1.0578928,0.4310268
gene_9000/39.jpg,0.013465598,0.5513038,-0.27566275,-0.04145968,-0.24613382,-1.4296557,1.4361752,-1.2317995,2.47085,-1.1121817,1.9656398,-0.49608836,1.7165322,-0.7852192,0.26147455,0.13743615
gene_9000/40.jpg,-0.32745183,-0.32298535,-0.19040835,0.6682768,1.5670323,-0.19870663,2.0253572,-0.78439885,-1.0592089,-1.144101,0.015507273,0.22231881,-0.66329086,-0.42669398,-1.8690948,2.490016
gene_9000/41.jpg,-0.02315454,-1.2939279,-0.61035013,-0.70352596,1.4922769,-0.5592724,2.356687,-0.84375936,-1.3692427,-2.5885277,-0.5596238,-1.6013381,0.09112543,3.6048775,-0.28937504,0.8863056
gene_9000/42.jpg,-0.96314704,1.4800957,0.50837433,0.118191525,0.4633833,0.7803188,0.8356376,-0.0032226983,-2.6273131,-1.9792943,-2.1274917,-0.3319836,1.0062972,0.48563242,-1.345508,2.6476486
gene_9000/43.jpg,0.9626262,-0.6325979,-0.47634885,-0.16672428,1.4841788,-1.1899852,3.1774306,0.048121095,-1.0340756,-0.9493356,0.9484692,1.6765234,-0.34567428,0.39980766,0.037268106,0.96301126
gene_9000/44.jpg,-0.75517154,3.111152,-0.51793724,-1.2342694,-1.1554888,1.7647498,2.380347,-0.0130474195,-1.2252991,0.14122868,1.4871856,-1.9439815,1.6731327,2.296211,-2.2323613,0.46237186
gene_9000/45.jpg,0.2667036,-0.59818596,-1.0470451,-1.0344831,1.3788738,-1.4361981,2.8076732,-0.004267159,-1.6834499,-2.124816,-1.0880014,-1.5481966,-0.98440593,2.9405255,-1.7255548,0.31099558
gene_9000/46.jpg,-0.26238382,0.67198974,-0.17360619,1.5377833,-1.2022123,0.37402183,1.316174,0.48515904,-2.3783872,-1.4670444,-1.4546597,-0.7721022,1.1429733,1.6242304,-2.0467157,2.11922
gene_9000/47.jpg,-0.2204673,-0.031438805,-0.5618197,-1.4992086,0.703827,-1.0738635,3.737562,-0.23635249,-1.4526639,0.6861747,1.6206411,0.22806892,0.6966344,0.9732005,-0.573431,0.76282924
gene_9000/48.jpg,-1.668042,1.7600765,-0.9562702,-0.677052,0.69114053,-1.1232519,1.3256973,-1.6007578,-2.0729127,-0.39762542,-0.6111359,-0.6435488,0.60020626,0.13108414,0.019127652,0.9886048
gene_9000/49.jpg,9.93032e-05,-0.14249453,-0.22094798,-0.31126845,1.8223978,-2.0878778,2.1809056,-1.0401256,-0.15957618,-1.5289707,-0.3304875,-1.971967,0.023886517,2.4353397,-1.6745671,1.8951547
gene_9000/50.jpg,-1.0204597,2.0444596,0.5860286,1.4597894,0.15720539,1.7844334,2.2654197,0.57808423,-1.2641634,-1.5932549,-1.409027,0.36331764,1.0550808,1.5914938,-1.9038402,1.9325576
gene_9000/51.jpg,-0.6191199,1.1687595,-0.22748257,0.4563363,1.0369266,0.34602302,3.3306067,-0.6771585,1.7859337,-0.9365362,1.6473802,-0.2989372,0.8046864,-1.4328281,-2.2283716,0.12181406
gene_9000/52.jpg,-2.4250646,0.7682611,1.1871909,-1.4928641,-1.1738346,0.10993911,2.4008274,-0.1315617,-0.37591484,-1.4353433,0.32584915,-1.731355,0.044929445,3.4662724,-2.4328532,0.51749575
gene_9000/53.jpg,0.14667165,-0.512578,-0.13183656,-0.5472092,1.0588616,-1.207816,2.341941,-0.6943165,-1.1736637,-1.8014395,-0.23156834,-1.8022578,0.08564524,3.6267283,0.421969,1.9383707
gene_9000/54.jpg,-0.1093245,0.9344387,0.39793688,1.2675278,0.046546116,0.8239971,1.8322052,-0.786053,-1.4376467,-1.5977836,-2.1565852,0.46165627,-0.028841823,0.82195127,-1.0634001,2.6773205
